id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,pymnt_plan,purpose
112052261,7500,7500,7500.0,36 months,7.35,232.79,A,A4,Associate Director,7 years,MORTGAGE,110000.0,Not Verified,Fully Paid,n,debt_consolidation
111498756,12000,12000,12000.0,60 months,14.08,279.72,C,C3,Teacher,9 years,RENT,50000.0,Not Verified,Current,n,debt_consolidation
112441324,3600,3600,3600.0,36 months,7.35,111.74,A,A4,Accountant,1 year,MORTGAGE,45000.0,Not Verified,Current,n,credit_card
112437968,7000,7000,7000.0,36 months,7.35,217.27,A,A4,Managing Director,7 years,OWN,122000.0,Not Verified,Current,n,debt_consolidation
112314147,12000,12000,12000.0,60 months,30.65,393.05,F,F4,Test Engineer,10+ years,RENT,121111.0,Source Verified,Current,n,house
112270114,4200,4200,4200.0,36 months,10.91,137.33,B,B4,STORE MANAGER,8 years,MORTGAGE,35000.0,Not Verified,Current,n,other
112156214,5000,5000,5000.0,36 months,7.35,155.19,A,A4,Manufacturing Superviros,5 years,MORTGAGE,60000.0,Not Verified,Current,n,car
112441173,15000,15000,15000.0,60 months,12.62,338.39,C,C1,Teacher,10+ years,MORTGAGE,60000.0,Not Verified,Current,n,debt_consolidation
111872988,10000,10000,10000.0,36 months,9.44,320.05,B,B1,Teacher,10+ years,MORTGAGE,52000.0,Not Verified,Current,n,credit_card
111735948,6000,6000,6000.0,36 months,7.35,186.23,A,A4,VP of Professional Services,2 years,MORTGAGE,74000.0,Not Verified,Current,n,debt_consolidation
112438798,4000,4000,4000.0,36 months,5.32,120.46,A,A1,Regional Manager-Customer Success,9 years,MORTGAGE,162000.0,Not Verified,Current,n,home_improvement
112220235,3000,3000,3000.0,36 months,16.02,105.51,C,C5,Executive Director,9 years,RENT,67475.2,Not Verified,Current,n,major_purchase
112436856,2000,2000,2000.0,36 months,7.07,61.82,A,A2,Paralegal,2 years,RENT,80000.0,Not Verified,Current,n,medical
111226724,18950,18950,18950.0,60 months,21.45,517.47,D,D5,QA Manager,1 year,MORTGAGE,130000.0,Verified,Current,n,credit_card
112120118,5800,5800,5800.0,36 months,12.62,194.37,C,C1,Juvenile Probation e,2 years,RENT,43000.0,Source Verified,Current,n,debt_consolidation
112158057,7500,7500,7500.0,36 months,7.35,232.79,A,A4,Project Lead,10+ years,MORTGAGE,113000.0,Source Verified,Current,n,debt_consolidation
112438671,26000,26000,26000.0,60 months,12.62,586.54,C,C1,Director of Product Management,8 years,MORTGAGE,142000.0,Not Verified,Current,n,credit_card
110394088,6000,6000,6000.0,36 months,11.99,199.26,B,B5,Restorative Therapy,10+ years,MORTGAGE,28000.0,Verified,Current,n,debt_consolidation
111999259,10000,10000,10000.0,60 months,16.02,243.29,C,C5,Biller,7 years,RENT,51979.0,Source Verified,Fully Paid,n,debt_consolidation
110183156,3800,3800,3800.0,36 months,10.91,124.25,B,B4,,,OWN,24000.0,Source Verified,Current,n,credit_card
110441284,25000,25000,25000.0,60 months,15.05,595.41,C,C4,Store Manager,10+ years,MORTGAGE,130000.0,Source Verified,Current,n,credit_card
110411462,12000,12000,12000.0,36 months,23.88,470.04,E,E2,banker,10+ years,MORTGAGE,48000.0,Verified,Current,n,credit_card
111413286,16000,16000,16000.0,60 months,12.62,360.95,C,C1,,,MORTGAGE,140000.0,Verified,Current,n,debt_consolidation
111835534,40000,40000,40000.0,60 months,14.08,932.39,C,C3,Executive Director,2 years,MORTGAGE,136000.0,Verified,Current,n,debt_consolidation
112016659,9500,9500,9500.0,36 months,9.44,304.05,B,B1,Customer Service,2 years,MORTGAGE,30000.0,Source Verified,Current,n,major_purchase
110987507,28000,28000,28000.0,60 months,13.59,645.58,C,C2,President,10+ years,MORTGAGE,200000.0,Verified,Current,n,debt_consolidation
111996192,6000,6000,6000.0,36 months,10.42,194.79,B,B3,Server,1 year,RENT,45000.0,Source Verified,Current,n,credit_card
112159881,9600,9600,9600.0,36 months,12.62,321.71,C,C1,,,MORTGAGE,67000.0,Not Verified,Current,n,credit_card
112339948,13925,13925,13925.0,36 months,21.45,527.85,D,D5,Congressional Liaison,10+ years,OWN,109000.0,Source Verified,Current,n,credit_card
112329339,15000,15000,15000.0,36 months,11.99,498.15,B,B5,Teacher,10+ years,MORTGAGE,119700.0,Source Verified,Current,n,debt_consolidation
112043881,9600,9600,9600.0,36 months,13.59,326.2,C,C2,Customer Service,10+ years,RENT,48000.0,Source Verified,Current,n,debt_consolidation
111849195,26750,26750,26750.0,60 months,13.59,616.76,C,C2,Application developer,4 years,MORTGAGE,90000.0,Not Verified,Current,n,debt_consolidation
111895855,25000,25000,25000.0,36 months,11.99,830.24,B,B5,,,MORTGAGE,43306.0,Verified,Current,n,credit_card
111733744,6000,6000,6000.0,36 months,10.42,194.79,B,B3,Production Manager,8 years,RENT,55000.0,Source Verified,Current,n,credit_card
111737590,17600,17600,17600.0,60 months,9.93,373.35,B,B2,Nurse,10+ years,MORTGAGE,50000.0,Verified,Current,n,debt_consolidation
112438261,9600,9600,9600.0,36 months,7.21,297.35,A,A3,Sr. Accountant,2 years,MORTGAGE,72000.0,Not Verified,Current,n,debt_consolidation
111428938,1200,1200,1200.0,36 months,12.62,40.22,C,C1,Bookkeeper,1 year,MORTGAGE,75000.0,Source Verified,Current,n,debt_consolidation
112154340,20000,20000,20000.0,60 months,13.59,461.13,C,C2,,,MORTGAGE,92000.0,Not Verified,Current,n,home_improvement
111105363,11200,11200,11200.0,36 months,5.32,337.29,A,A1,Chief Pilot,9 years,MORTGAGE,125000.0,Source Verified,Current,n,debt_consolidation
111539554,20000,20000,20000.0,60 months,18.06,508.53,D,D2,night head clerk,9 years,RENT,55000.0,Source Verified,Current,n,debt_consolidation
111926979,20000,20000,20000.0,36 months,12.62,670.23,C,C1,Area facilities operations specialist,10+ years,MORTGAGE,76000.0,Verified,Current,n,debt_consolidation
111849153,4500,4500,4500.0,36 months,10.42,146.1,B,B3,Paralegal,< 1 year,RENT,40000.0,Source Verified,Current,n,debt_consolidation
111776983,28000,28000,28000.0,60 months,17.09,697.23,D,D1,Community Account Rep,10+ years,RENT,70000.0,Verified,Current,n,debt_consolidation
111494367,20000,20000,20000.0,36 months,9.93,644.69,B,B2,RN,< 1 year,MORTGAGE,120000.0,Source Verified,Current,n,debt_consolidation
112032398,13725,13725,13725.0,36 months,7.97,429.91,A,A5,aerospace inspection,6 years,MORTGAGE,82000.0,Source Verified,Current,n,debt_consolidation
112052888,13200,13200,13200.0,60 months,19.03,342.64,D,D3,Solutions Specialist,3 years,MORTGAGE,45000.0,Verified,Current,n,debt_consolidation
111987043,1000,1000,1000.0,36 months,7.07,30.91,A,A2,Maintenance manager,1 year,MORTGAGE,50000.0,Not Verified,Current,n,other
110627713,14000,14000,14000.0,60 months,15.05,333.43,C,C4,VP of Franchise Development,< 1 year,RENT,75000.0,Source Verified,Current,n,debt_consolidation
110919365,10200,10200,10200.0,60 months,14.08,237.76,C,C3,Teacher,7 years,MORTGAGE,49000.0,Verified,Current,n,credit_card
112032757,12000,12000,12000.0,60 months,21.45,327.69,D,D5,Truck Driver,10+ years,RENT,65000.0,Source Verified,Current,n,debt_consolidation
112060838,10000,10000,10000.0,36 months,15.05,346.9,C,C4,Accounting lead,2 years,RENT,60000.0,Verified,Current,n,credit_card
109731451,8000,8000,8000.0,36 months,18.06,289.47,D,D2,IT Specialist,10+ years,RENT,98000.0,Not Verified,Current,n,debt_consolidation
111110566,25600,25600,25600.0,60 months,13.59,590.24,C,C2,Owner,10+ years,MORTGAGE,65000.0,Not Verified,Current,n,credit_card
112057431,7000,7000,7000.0,36 months,5.32,210.81,A,A1,bmet,10+ years,MORTGAGE,80000.0,Source Verified,Current,n,home_improvement
112432881,6000,6000,6000.0,36 months,10.91,196.18,B,B4,HR/Safety Manager,2 years,MORTGAGE,27000.0,Source Verified,Current,n,debt_consolidation
111104344,6000,6000,6000.0,36 months,10.91,196.18,B,B4,instructor,10+ years,RENT,80000.0,Verified,Current,n,debt_consolidation
112219741,10000,10000,10000.0,36 months,13.59,339.79,C,C2,Office Manager,10+ years,RENT,65000.0,Not Verified,Current,n,other
112048245,12000,12000,12000.0,36 months,9.44,384.06,B,B1,Dishwasher,< 1 year,RENT,36000.0,Source Verified,Current,n,credit_card
112028978,5400,5400,5400.0,36 months,7.21,167.26,A,A3,Lead Sale,3 years,RENT,25000.0,Verified,Current,n,credit_card
112051969,28800,28800,28800.0,60 months,15.05,685.91,C,C4,Warehouse Worker,3 years,MORTGAGE,53000.0,Verified,Current,n,debt_consolidation
112028752,5300,5300,5300.0,36 months,18.06,191.77,D,D2,Substitute Teacher,3 years,OWN,30000.0,Not Verified,Current,n,other
111116526,4000,4000,4000.0,36 months,10.91,130.79,B,B4,Melter,10+ years,MORTGAGE,74000.0,Not Verified,Current,n,home_improvement
110659062,32000,32000,32000.0,60 months,10.42,686.54,B,B3,Owner,2 years,MORTGAGE,250000.0,Verified,Current,n,small_business
111812442,25750,25750,25750.0,36 months,24.85,1021.78,E,E3,Tech,5 years,MORTGAGE,65000.0,Source Verified,Current,n,debt_consolidation
110348357,4000,4000,4000.0,36 months,9.93,128.94,B,B2,Senior Archaeologist,10+ years,MORTGAGE,45000.0,Source Verified,Current,n,debt_consolidation
111673824,25000,25000,25000.0,36 months,16.02,879.18,C,C5,Mechanic,3 years,MORTGAGE,77000.0,Source Verified,Current,n,debt_consolidation
112044636,35000,35000,35000.0,36 months,5.32,1054.02,A,A1,Human Resources Director,< 1 year,MORTGAGE,165000.0,Source Verified,Current,n,debt_consolidation
111808508,14000,14000,14000.0,36 months,16.02,492.34,C,C5,cdl driver,7 years,MORTGAGE,75000.0,Verified,Fully Paid,n,debt_consolidation
111071764,17700,17700,17700.0,36 months,30.79,759.08,G,G1,Director Business Development,10+ years,MORTGAGE,160000.0,Source Verified,Fully Paid,n,home_improvement
112048295,16000,16000,16000.0,36 months,7.97,501.17,A,A5,Field Engineer,5 years,MORTGAGE,64000.0,Not Verified,Current,n,debt_consolidation
111837549,8000,8000,8000.0,36 months,10.42,259.72,B,B3,Insurance Agent,2 years,MORTGAGE,50000.0,Not Verified,Current,n,credit_card
112038266,26025,26025,26025.0,36 months,30.17,1107.23,F,F3,Special Education Paraeducator,10+ years,OWN,62000.0,Verified,Current,n,debt_consolidation
111877690,10000,10000,10000.0,36 months,18.06,361.83,D,D2,Maintenance Supervisor,10+ years,RENT,66000.0,Source Verified,Current,n,other
111959117,4000,4000,4000.0,36 months,11.99,132.84,B,B5,Investment Accountant,10+ years,RENT,77000.0,Verified,Current,n,other
112349857,25000,25000,25000.0,36 months,7.35,775.94,A,A4,Associate Dean / Professor,10+ years,MORTGAGE,75000.0,Not Verified,Current,n,debt_consolidation
112132535,3000,3000,3000.0,36 months,11.99,99.63,B,B5,Pilot,2 years,MORTGAGE,138000.0,Verified,Current,n,debt_consolidation
112147296,10000,10000,10000.0,36 months,11.99,332.1,B,B5,intake specialist,2 years,RENT,48664.0,Not Verified,Current,n,debt_consolidation
112329351,20000,20000,20000.0,36 months,7.97,626.46,A,A5,Principal Product Marketing Manager,< 1 year,RENT,130000.0,Source Verified,Current,n,debt_consolidation
111786906,14000,14000,14000.0,36 months,9.93,451.29,B,B2,Radiology Manager,10+ years,MORTGAGE,90000.0,Not Verified,Current,n,debt_consolidation
112047583,28000,28000,28000.0,60 months,9.44,587.24,B,B1,Tech,2 years,OWN,49400.0,Verified,Current,n,home_improvement
112299951,4500,4500,4500.0,36 months,20.0,167.24,D,D4,Buyer,7 years,RENT,33000.0,Not Verified,In Grace Period,n,credit_card
112043626,12000,12000,12000.0,36 months,7.07,370.91,A,A2,Analyst,3 years,RENT,93600.0,Not Verified,Current,n,credit_card
111866510,7500,7500,7500.0,36 months,7.07,231.82,A,A2,Petty Officer 2nd Class,10+ years,RENT,50000.0,Not Verified,Current,n,debt_consolidation
111082085,3500,3500,3500.0,36 months,18.06,126.64,D,D2,EBS Attendant,6 years,RENT,30740.44,Source Verified,Current,n,debt_consolidation
111112804,23000,23000,23000.0,60 months,15.05,547.78,C,C4,Account Manager,< 1 year,RENT,62000.0,Source Verified,Current,n,credit_card
112026101,5000,5000,5000.0,36 months,7.35,155.19,A,A4,credits & collections analyst,3 years,OWN,38000.0,Not Verified,Current,n,debt_consolidation
111660533,10000,10000,10000.0,36 months,11.99,332.1,B,B5,Project Manager,1 year,MORTGAGE,80000.0,Not Verified,Current,n,debt_consolidation
111937864,6150,6150,6150.0,36 months,16.02,216.28,C,C5,pharmacy tech,10+ years,RENT,17100.0,Source Verified,Current,n,debt_consolidation
112436524,40000,40000,40000.0,60 months,9.93,848.51,B,B2,Statistical Consultant,5 years,MORTGAGE,130000.0,Verified,Current,n,credit_card
112379224,14000,14000,14000.0,36 months,14.08,479.04,C,C3,Inventory,7 years,MORTGAGE,48000.0,Not Verified,Current,n,debt_consolidation
112031386,12000,12000,12000.0,60 months,26.3,361.42,E,E5,Assistant Superintendent,3 years,OWN,36200.0,Source Verified,Current,n,debt_consolidation
111896883,10800,10800,10800.0,36 months,9.93,348.14,B,B2,Vice President,6 years,MORTGAGE,393000.0,Source Verified,Current,n,vacation
111813439,2400,2400,2400.0,36 months,14.08,82.12,C,C3,Forklift operator,5 years,RENT,32000.0,Source Verified,Current,n,credit_card
112062595,21000,21000,21000.0,60 months,14.08,489.51,C,C3,Vice President-Strategic Development,3 years,MORTGAGE,80000.0,Source Verified,Current,n,debt_consolidation
112313910,11200,11200,11200.0,60 months,21.45,305.84,D,D5,Underwriter,10+ years,MORTGAGE,52000.0,Not Verified,Current,n,debt_consolidation
112438361,16800,16800,16800.0,60 months,14.08,391.61,C,C3,Maintenance Manager,9 years,RENT,54200.0,Not Verified,Current,n,credit_card
110601516,1000,1000,1000.0,36 months,10.42,32.47,B,B3,Custodian,5 years,MORTGAGE,57000.0,Verified,Current,n,home_improvement
111826922,12000,12000,12000.0,60 months,14.08,279.72,C,C3,Software Implementation,2 years,MORTGAGE,60000.0,Source Verified,Current,n,debt_consolidation
110669135,5000,5000,5000.0,36 months,11.99,166.05,B,B5,Industrial technician,4 years,MORTGAGE,46000.0,Verified,Current,n,other
111005622,10000,10000,10000.0,60 months,13.59,230.57,C,C2,Auditor,< 1 year,MORTGAGE,59000.0,Verified,Current,n,debt_consolidation
112119543,28000,28000,28000.0,36 months,7.21,867.25,A,A3,Project Manager,8 years,RENT,106000.0,Source Verified,Current,n,debt_consolidation
112006924,21075,21075,21075.0,36 months,11.99,699.9,B,B5,Mgr.,4 years,OWN,48000.0,Not Verified,Current,n,debt_consolidation
111642246,16000,16000,16000.0,60 months,15.05,381.06,C,C4,,,MORTGAGE,5568.0,Verified,Current,n,house
110394504,21000,21000,21000.0,60 months,14.08,489.51,C,C3,Marketing Manager,3 years,RENT,90000.0,Source Verified,Current,n,debt_consolidation
112077207,27000,27000,27000.0,36 months,10.42,876.55,B,B3,Lab Tech,10+ years,RENT,130000.0,Source Verified,Current,n,debt_consolidation
111511443,8000,8000,8000.0,36 months,18.06,289.47,D,D2,PCT,3 years,RENT,30000.0,Source Verified,Current,n,debt_consolidation
111874726,11000,11000,11000.0,60 months,16.02,267.62,C,C5,Teller,< 1 year,OWN,24000.0,Verified,Current,n,credit_card
112053412,12000,12000,12000.0,36 months,9.93,386.82,B,B2,Consultant,1 year,OWN,120000.0,Not Verified,Current,n,credit_card
111826699,14675,14675,14675.0,36 months,11.99,487.35,B,B5,School bus driver,10+ years,MORTGAGE,24000.0,Verified,Current,n,debt_consolidation
111818259,10000,10000,10000.0,36 months,11.99,332.1,B,B5,,,RENT,27000.0,Verified,Current,n,debt_consolidation
112032447,10000,10000,10000.0,36 months,12.62,335.12,C,C1,Truck driver,3 years,OWN,84000.0,Verified,Current,n,other
111808885,8000,8000,8000.0,36 months,11.99,265.68,B,B5,investigator,10+ years,MORTGAGE,85000.0,Verified,Current,n,medical
111246602,5000,5000,5000.0,36 months,5.32,150.58,A,A1,Firefighter/EMT,2 years,MORTGAGE,45000.0,Verified,Current,n,home_improvement
112052761,40000,40000,40000.0,60 months,13.59,922.25,C,C2,"Structural Engineer, Associate",10+ years,MORTGAGE,107640.0,Verified,Current,n,home_improvement
112119601,25000,25000,25000.0,60 months,19.03,648.93,D,D3,Collector,10+ years,MORTGAGE,88000.0,Source Verified,Current,n,debt_consolidation
112064156,5000,5000,5000.0,36 months,9.93,161.18,B,B2,Manager/Supervisor,10+ years,MORTGAGE,110000.0,Not Verified,Current,n,home_improvement
111857940,24000,24000,24000.0,36 months,7.07,741.82,A,A2,Clergy,10+ years,RENT,100000.0,Verified,Current,n,debt_consolidation
112056369,32000,32000,32000.0,60 months,21.45,873.83,D,D5,Registered Nurse,< 1 year,RENT,65000.0,Source Verified,Current,n,debt_consolidation
111998699,15000,15000,15000.0,36 months,14.08,513.25,C,C3,Apprentice,10+ years,RENT,80000.0,Source Verified,Current,n,debt_consolidation
111730168,4000,4000,4000.0,36 months,16.02,140.67,C,C5,Proprietor,3 years,RENT,20000.0,Verified,Current,n,debt_consolidation
112369503,11200,11200,11200.0,36 months,12.62,375.33,C,C1,Cashier,10+ years,OWN,30000.0,Verified,Current,n,credit_card
112435166,3000,3000,3000.0,36 months,7.97,93.97,A,A5,physician assistant,3 years,RENT,36000.0,Not Verified,Current,n,credit_card
112220049,22000,22000,22000.0,36 months,13.59,747.54,C,C2,Project Manager,10+ years,MORTGAGE,112000.0,Verified,Current,n,debt_consolidation
112134404,15000,15000,15000.0,36 months,16.02,527.51,C,C5,FSO,5 years,MORTGAGE,65000.0,Verified,Current,n,debt_consolidation
111996485,10000,10000,10000.0,36 months,15.05,346.9,C,C4,Purchasing Manager,4 years,MORTGAGE,140000.0,Source Verified,Current,n,debt_consolidation
112084686,20000,20000,20000.0,60 months,9.93,424.26,B,B2,Collision tech,10+ years,MORTGAGE,90000.0,Source Verified,Current,n,credit_card
111778131,7000,7000,7000.0,36 months,19.03,256.7,D,D3,General manager,2 years,RENT,55000.0,Source Verified,Current,n,debt_consolidation
111988141,2000,2000,2000.0,36 months,10.42,64.93,B,B3,Homestay Manager,7 years,RENT,57000.0,Source Verified,Current,n,credit_card
112290050,15000,15000,15000.0,60 months,13.59,345.85,C,C2,Quality Assurance,6 years,MORTGAGE,108000.0,Not Verified,Current,n,debt_consolidation
110957981,6000,6000,6000.0,36 months,7.07,185.46,A,A2,artist,< 1 year,MORTGAGE,30000.0,Not Verified,Current,n,debt_consolidation
111917820,10000,10000,10000.0,60 months,12.62,225.6,C,C1,Electrical Supervisor,7 years,MORTGAGE,100000.0,Source Verified,Current,n,debt_consolidation
111551644,6000,6000,6000.0,36 months,16.02,211.01,C,C5,Information Technology Specialist,10+ years,MORTGAGE,62000.0,Verified,Current,n,debt_consolidation
111976993,8000,8000,8000.0,36 months,16.02,281.34,C,C5,Senior Accounting Analyst,10+ years,RENT,74500.0,Verified,Current,n,credit_card
112033127,3000,3000,3000.0,36 months,16.02,105.51,C,C5,Asset Manager,1 year,RENT,25000.0,Source Verified,Current,n,debt_consolidation
111897237,12000,12000,12000.0,36 months,9.93,386.82,B,B2,nurse manager,4 years,RENT,52000.0,Source Verified,Current,n,debt_consolidation
111683189,12875,12875,12875.0,60 months,15.05,306.64,C,C4,Home Health Aide,3 years,RENT,28000.0,Source Verified,Current,n,credit_card
112438673,6000,6000,6000.0,36 months,9.93,193.41,B,B2,Sales Consultant,5 years,MORTGAGE,75000.0,Not Verified,Current,n,credit_card
110955889,4800,4800,4800.0,36 months,7.07,148.37,A,A2,Office Manager,10+ years,MORTGAGE,48197.0,Source Verified,Current,n,other
111816681,40000,40000,40000.0,36 months,9.44,1280.2,B,B1,Director ADA,< 1 year,MORTGAGE,122000.0,Verified,Current,n,debt_consolidation
112055008,7000,7000,7000.0,36 months,7.35,217.27,A,A4,Mold Tech,10+ years,RENT,60000.0,Not Verified,Current,n,debt_consolidation
110466888,18000,18000,18000.0,60 months,11.99,400.31,B,B5,Administrative Assistance,7 years,MORTGAGE,37000.0,Not Verified,Current,n,debt_consolidation
112435413,6500,6500,6500.0,36 months,5.32,195.75,A,A1,Systems analyst,10+ years,OWN,80000.0,Not Verified,Current,n,debt_consolidation
111732017,3625,3625,3625.0,36 months,16.02,127.49,C,C5,Nanny,< 1 year,RENT,21000.0,Verified,Current,n,other
112056461,36000,36000,36000.0,60 months,16.02,875.84,C,C5,General Manager,5 years,MORTGAGE,300000.0,Source Verified,Current,n,credit_card
111977321,28000,28000,28000.0,60 months,15.05,666.86,C,C4,,,MORTGAGE,96000.0,Not Verified,Current,n,debt_consolidation
111472180,15000,15000,15000.0,36 months,7.07,463.64,A,A2,Director of Nursing,10+ years,RENT,87000.0,Source Verified,Current,n,debt_consolidation
111977621,10000,10000,10000.0,36 months,5.32,301.15,A,A1,Machine operator,3 years,OWN,60000.0,Source Verified,Current,n,major_purchase
112438357,10000,10000,10000.0,60 months,9.93,212.13,B,B2,Junior Kindergarten Grade Head,10+ years,RENT,80000.0,Not Verified,Current,n,credit_card
112058268,36000,36000,36000.0,36 months,5.32,1084.14,A,A1,Physcian,4 years,MORTGAGE,300000.0,Not Verified,Current,n,debt_consolidation
111775612,6800,6800,6800.0,36 months,24.85,269.83,E,E3,Hair Consultant,< 1 year,RENT,20000.0,Verified,Current,n,debt_consolidation
111978068,10000,10000,10000.0,36 months,11.99,332.1,B,B5,Medical assistant,1 year,RENT,44454.0,Source Verified,Current,n,debt_consolidation
111837447,15500,15500,15500.0,36 months,7.07,479.1,A,A2,Accounting Manager,< 1 year,MORTGAGE,73000.0,Not Verified,Current,n,credit_card
112087682,15000,15000,15000.0,36 months,11.99,498.15,B,B5,Senior Accountant,3 years,OWN,63000.0,Source Verified,Fully Paid,n,credit_card
112028604,30000,30000,30000.0,36 months,18.06,1085.48,D,D2,,,MORTGAGE,64000.0,Source Verified,Current,n,home_improvement
111743616,40000,40000,40000.0,36 months,9.44,1280.2,B,B1,Land Development,10+ years,MORTGAGE,141999.0,Verified,Current,n,debt_consolidation
112048100,22000,22000,22000.0,36 months,16.02,773.68,C,C5,Business Analyst I,8 years,RENT,69451.2,Verified,Current,n,debt_consolidation
112117439,3500,3500,3500.0,36 months,10.91,114.44,B,B4,Grocery,2 years,RENT,25000.0,Not Verified,Current,n,debt_consolidation
111897551,20000,20000,20000.0,36 months,18.06,723.66,D,D2,Transportation manager,2 years,RENT,85000.0,Verified,Late (31-120 days),n,debt_consolidation
111910671,5000,5000,5000.0,36 months,10.91,163.49,B,B4,Caregiver,9 years,RENT,29000.0,Source Verified,Current,n,vacation
112209888,18000,18000,18000.0,60 months,12.62,406.07,C,C1,Sales/Service Distribution Clerk,2 years,MORTGAGE,88000.0,Not Verified,Current,n,debt_consolidation
111489849,35000,35000,35000.0,36 months,5.32,1054.02,A,A1,Financial Analyst,8 years,MORTGAGE,250000.0,Source Verified,Current,n,debt_consolidation
111977778,3500,3500,3500.0,36 months,11.99,116.24,B,B5,Driver,2 years,RENT,31992.0,Not Verified,Current,n,debt_consolidation
111812549,20000,20000,20000.0,36 months,12.62,670.23,C,C1,Used Car Buyer,2 years,MORTGAGE,75000.0,Not Verified,Current,n,debt_consolidation
111716835,10000,10000,10000.0,36 months,12.62,335.12,C,C1,Team lead Pcc,9 years,RENT,44000.0,Source Verified,Current,n,debt_consolidation
109868287,12000,12000,12000.0,36 months,10.42,389.58,B,B3,Department manager,10+ years,RENT,42000.0,Source Verified,Current,n,debt_consolidation
112054716,8000,8000,8000.0,36 months,16.02,281.34,C,C5,SR Quantitative Developer,< 1 year,MORTGAGE,195000.0,Not Verified,Current,n,car
112220002,20000,20000,20000.0,36 months,7.21,619.47,A,A3,Foreman,< 1 year,MORTGAGE,91992.0,Not Verified,Current,n,debt_consolidation
111415842,11500,11500,11500.0,36 months,11.99,381.91,B,B5,Houseman Supervisor,10+ years,RENT,65000.0,Verified,Current,n,debt_consolidation
111976992,7200,7200,7200.0,36 months,13.59,244.65,C,C2,Supervisor,2 years,OWN,40000.0,Verified,Current,n,debt_consolidation
